,first_name,last_name,city,country,CustomerRevenue,NumOrders,FirstTouchTrafficSource,Recency,AvgPurchaseInterval
0,Robert,Perez,Highland Park,United States,1555.159999847412,7,Search,2023-05-20 06:21:05+00:00,66.0
1,Stacey,Espinoza,Los Arenales del Sol,Spain,1422.75,4,Search,2019-12-25 22:57:34+00:00,
2,Andrew,Williams,Bordeaux,France,1277.4899997711182,4,Email,2025-06-27 12:25:22+00:00,350.5
3,Robert,Miller,Itaboraí,Brasil,1242.9899997711182,4,Search,2024-12-19 09:44:12+00:00,
4,John,Ford,Kunming,China,1151.939998626709,5,Search,2024-06-23 21:47:08+00:00,16.0
5,Cory,Hansen,Miajadas,Spain,1087.670000076294,6,Search,2024-10-08 08:32:33+00:00,457.0
6,Kristina,Stewart,Huainan,China,1074.900001525879,5,Display,2025-07-31 03:09:57+00:00,52.0
7,Ashley,Goodman,Xingtai,China,1044.5,5,Organic,2025-08-15 18:44:09+00:00,6.0
8,Katelyn,Robertson,Gimhae City,South Korea,1035.0099983215332,4,Organic,2025-10-06 13:45:12.796121+00:00,
9,Michael,Wells,Mokpo City,South Korea,1002.0,3,Search,2024-03-26 04:24:15+00:00,
10,Matthew,Dalton,Gurnee,United States,999.0,1,Search,2025-09-26 20:55:07+00:00,
11,Brian,Brown,Jiangmen,China,999.0,1,Search,2025-01-06 20:36:20+00:00,
12,John,Green,New York,United States,998.8500003814697,4,Search,2025-07-22 08:11:14+00:00,
13,Danielle,Bullock,Galveston,United States,996.0,2,Search,2025-08-14 10:32:08+00:00,
14,Jamie,Mata,San Antonio,United States,991.0,2,Organic,2025-09-30 15:56:37+00:00,
15,Kevin,Kaufman,Jurupa Valley,United States,989.4699993133545,3,Search,2025-09-24 10:36:23+00:00,
16,Julia,Robinson,Dortmund,Germany,982.0,2,Search,2024-05-20 13:06:46+00:00,
17,James,Hayes,Urtajo,Spain,973.0,2,Search,2024-02-13 13:46:35+00:00,64.0
18,Anthony,Potter,Açailândia,Brasil,966.9500007629395,2,Search,2024-11-24 14:40:57+00:00,153.0
19,Ricky,James,Palm River-Clair Mel,United States,966.0,2,Search,2025-09-23 10:21:41+00:00,18.0
20,Justin,Sanders,Wenzhou,China,957.9300003051758,2,Display,2023-04-20 10:41:48+00:00,272.0
21,Lisa,Bell,Conceição do Coité,Brasil,956.8999996185303,6,Search,2023-12-19 09:28:39+00:00,725.0
22,Jonathan,Crawford,Valence,France,950.0,1,Search,2022-05-02 02:11:58+00:00,
23,Jamie,Johnson,Zhuhai,China,942.0,2,Search,2025-07-31 12:25:58+00:00,
24,Chad,Newton,Jinan,China,935.9800033569336,5,Organic,2023-08-30 09:36:30+00:00,242.0
25,Brandon,Schmidt,Braunschweig,Germany,933.6899995803833,3,Organic,2025-02-09 00:29:11+00:00,
26,Christopher,Erickson,Baoding,China,927.3800010681152,7,Search,2025-02-19 09:30:08+00:00,160.0
27,George,Brown,Foshan,China,925.9699993133545,2,Search,2025-09-22 23:46:21+00:00,
28,Keith,Collins,Shenzhen,China,923.989990234375,3,Organic,2025-03-27 12:43:51+00:00,549.0
29,Jessica,Jenkins,Dongguan,China,922.9899997711182,2,Search,2023-04-01 02:18:31+00:00,
30,Kendra,Fields,Wuhan,China,911.8400001525879,2,Facebook,2023-10-06 05:11:09+00:00,
31,Samuel,Johnson,null,United States,908.870002746582,2,Search,2024-10-01 01:30:18+00:00,
32,Kristi,Shaffer,Madrid,Spain,906.5,2,Display,2025-01-10 10:35:54+00:00,
33,Shawna,White,Suwon City,South Korea,905.0,2,Search,2025-05-17 23:32:06+00:00,754.0
34,John,Mcbride,East Point,United States,903.0,1,Email,2020-05-19 13:55:48+00:00,
35,Sheryl,Estrada,Atlanta,United States,903.0,1,Search,2025-09-11 02:33:24+00:00,
36,James,Warner,Baotou,China,903.0,1,Display,2023-01-03 08:14:55+00:00,
37,Eric,Peterson,Dongguan,China,903.0,1,Email,2024-08-21 23:35:46+00:00,
38,Renee,Alvarez,Beijing,China,903.0,1,Search,2024-09-02 11:33:54+00:00,
39,Robert,Montes,Chengdu,China,903.0,1,Organic,2024-10-10 03:43:36+00:00,
40,Richard,Anderson,Dumplings,Japan,903.0,1,Search,2023-08-22 00:33:59+00:00,
41,Stephen,Gonzales,Baltimore,United States,903.0,1,Search,2025-01-10 22:13:34+00:00,
42,Andrew,Liu,Cleveland,United States,903.0,1,Search,2025-04-10 07:30:29+00:00,
43,David,Young,Beijing,China,903.0,1,Search,2025-05-08 09:26:12+00:00,
44,Eduardo,Prince,Hangzhou,China,903.0,1,Search,2025-08-30 09:16:17+00:00,
45,Ariana,Navarro,Beijing,China,903.0,1,Search,2025-07-04 17:19:33+00:00,
46,Patrick,Miller,Tokyo,Japan,903.0,1,Search,2025-05-27 23:10:23+00:00,
47,Becky,Murphy,Suining,China,903.0,1,Search,2025-08-10 04:23:22+00:00,
48,Arthur,Quinn,Shaoxing,China,903.0,1,Search,2025-06-26 04:36:18+00:00,
49,William,Daniels,Hefei,China,889.9499969482422,2,Search,2025-05-27 05:35:09+00:00,
50,Francisco,Carney,Frankfurt am Main,Germany,865.9900054931641,4,Display,2025-08-13 16:38:40+00:00,
51,Donna,Brown,Wuxi,China,863.9799900054932,3,Search,2025-08-28 11:03:20+00:00,46.0
52,Joe,Bell,Shanghai,China,862.9899997711182,4,Search,2025-08-04 01:54:58+00:00,
53,Keith,Warren,Hohhot,China,847.9799995422363,4,Search,2022-12-28 05:50:29+00:00,
54,Denise,Beck,Vila Velha,Brasil,846.0,4,Organic,2025-10-03 16:15:08+00:00,
55,Craig,Rodriguez,Piscataway,United States,839.9200115203857,4,Email,2019-09-18 06:32:27+00:00,
56,Lisa,Wilson,São Luís,Brasil,833.6100006103516,4,Search,2025-09-24 01:20:00+00:00,555.0
57,Michael,Jennings,Tianshui,China,815.0,1,Organic,2025-09-30 07:44:31+00:00,
58,Lucas,Leon,Zhangjiakou,China,809.9399909973145,3,Search,2025-03-02 03:50:12+00:00,
59,Rachel,Evans,Nanchang,China,808.6599998474121,4,Search,2025-04-13 01:15:47+00:00,179.0
60,Perry,Jones,Harvey,United States,798.0,3,Organic,2023-09-14 22:49:27+00:00,
61,Jessica,Luna,Sketty,United Kingdom,791.989990234375,2,Organic,2025-03-23 06:56:40+00:00,
62,Steve,Wilson,NanNing,China,783.75,2,Search,2025-05-03 18:35:16+00:00,527.0
63,Patricia,Kelly,Niort,France,782.3399991989136,4,Search,2022-07-26 05:14:23+00:00,
64,Vanessa,Henson,Fort Worth,United States,780.9500007629395,2,Email,2025-05-30 11:58:09+00:00,236.0
65,Mark,Combs,Shenzhen,China,772.0799903869629,8,Search,2025-03-31 09:50:32+00:00,381.5
66,Jessica,Everett,Essen,Germany,758.6399993896484,2,Search,2024-04-30 09:20:22+00:00,
67,Shane,Mitchell,Icheon City,South Korea,758.0,1,Organic,2025-08-14 09:51:20+00:00,
68,Jeffrey,Henderson,Indianapolis,United States,758.0,1,Organic,2023-08-31 23:13:29+00:00,
69,James,Johnson,Jilin,China,756.9599990844727,3,Email,2024-10-03 12:00:00+00:00,147.0
70,Paige,Espinoza,Las Vegas,United States,756.0,3,Search,2025-03-06 12:49:24+00:00,
71,Amanda,Harris,Zhangzhou,China,750.0,1,Search,2024-04-03 08:42:13+00:00,
72,Christy,Marshall,Jieyang,China,745.4400000572205,4,Search,2023-11-09 00:02:46+00:00,28.5
73,Amanda,Frazier,Winchester,United Kingdom,745.2299976348877,6,Email,2024-10-24 00:32:00+00:00,570.0
74,Anthony,Shepherd,Linares,Spain,745.1499938964844,4,Search,2024-05-13 15:17:06+00:00,
75,Kenneth,Graham,Brasília,Brasil,743.0,2,Search,2025-01-31 10:47:19+00:00,
76,Alexandra,Wu,Lawnton,United States,727.229998588562,4,Search,2025-08-01 07:04:04+00:00,573.0
77,John,Butler,Garden Grove,United States,725.980001449585,4,Search,2024-03-17 08:11:06+00:00,
